disease_type	disease_id	cell_type	celltype_species	cell_ID	cell_def	marker	marker_type	database_specificity	EC_score	species	gene_description	database
multiple myeloma	DOID:9538	myeloma plasma cell	myeloma plasma cell (Hs)	DOID:9538-CL:0000786	Multiple myeloma cells are abnormal plasma cells (a type of white blood cell) that build up in the bone marrow and form tumors in many bones of the body.	NCAM1	positive	0.11	5	Human	neural cell adhesion molecule 1 	CellMarker; Solimando, A.G.; Da Vià, M.C.; Bolli, N.; Steinbrunn, T. The Route of the Malignant Plasma Cell in Its Survival Niche: Exploring “Multiple Myelomas”. Cancers 2022, 14, 3271. https://doi.org/10.3390/cancers14133271; Milteny Biotec; BioCompare; Flores-Montero J, de Tute R, Paiva B, Perez JJ, Böttcher S, Wind H, Sanoja L, Puig N, Lecrevisse Q, Vidriales MB, van Dongen JJ, Orfao A. Immunophenotype of normal vs. myeloma plasma cells: Toward antibody panel specifications for MRD detection in multiple myeloma. Cytometry B Clin Cytom. 2016 Jan;90(1):61-72. doi: 10.1002/cyto.b.21265. Epub 2015 Jul 31. PMID: 26100534.
multiple myeloma	DOID:9538	myeloma plasma cell	myeloma plasma cell (Hs)	DOID:9538-CL:0000786	Multiple myeloma cells are abnormal plasma cells (a type of white blood cell) that build up in the bone marrow and form tumors in many bones of the body.	PAX5	positive	1.00	1	Human	paired box 5 	Paiva B, Puig N, Cedena MT, de Jong BG, Ruiz Y, Rapado I, Martinez-Lopez J, Cordon L, Alignani D, Delgado JA, van Zelm MC, Van Dongen JJ, Pascual M, Agirre X, Prosper F, Martín-Subero JI, Vidriales MB, Gutierrez NC, Hernandez MT, Oriol A, Echeveste MA, Gonzalez Y, Johnson SK, Epstein J, Barlogie B, Morgan GJ, Orfao A, Blade J, Mateos MV, Lahuerta JJ, San-Miguel JF. Differentiation stage of myeloma plasma cells: biological and clinical significance. Leukemia. 2017 Feb;31(2):382-392. doi: 10.1038/leu.2016.211. Epub 2016 Aug 1. PMID: 27479184; PMCID: PMC5439510.
multiple myeloma	DOID:9538	myeloma plasma cell	myeloma plasma cell (Hs)	DOID:9538-CL:0000786	Multiple myeloma cells are abnormal plasma cells (a type of white blood cell) that build up in the bone marrow and form tumors in many bones of the body.	PRDM1	positive	1.00	1	Human	PR/SET domain 1 	Minnich, M., Tagoh, H., Bönelt, P. et al. Multifunctional role of the transcription factor Blimp-1 in coordinating plasma cell differentiation. Nat Immunol 17, 331–343 (2016). https://doi.org/10.1038/ni.3349
B-cell acute lymphoblastic leukemia	DOID:0080638	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:0080638-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	PROM1	positive	1.00	1	Human	prominin 1 	CellMarker
multiple myeloma	DOID:9538	myeloma plasma cell	myeloma plasma cell (Hs)	DOID:9538-CL:0000786	Multiple myeloma cells are abnormal plasma cells (a type of white blood cell) that build up in the bone marrow and form tumors in many bones of the body.	PTPRC	negative	0.17	3	Human	protein tyrosine phosphatase receptor type C 	Johnsen HE, Bøgsted M, Schmitz A, Bødker JS, El-Galaly TC, Johansen P, Valent P, Zojer N, Van Valckenborgh E, Vanderkerken K, van Duin M, Sonneveld P, Perez-Andres M, Orfao A, Dybkær K. The myeloma stem cell concept, revisited: from phenomenology to operational terms. Haematologica. 2016 Dec;101(12):1451-1459. doi: 10.3324/haematol.2015.138826. Epub 2016 Nov 10. PMID: 27903712; PMCID: PMC5479618.; Milteny Biotec; Flores-Montero J, de Tute R, Paiva B, Perez JJ, Böttcher S, Wind H, Sanoja L, Puig N, Lecrevisse Q, Vidriales MB, van Dongen JJ, Orfao A. Immunophenotype of normal vs. myeloma plasma cells: Toward antibody panel specifications for MRD detection in multiple myeloma. Cytometry B Clin Cytom. 2016 Jan;90(1):61-72. doi: 10.1002/cyto.b.21265. Epub 2015 Jul 31. PMID: 26100534.
multiple myeloma	DOID:9538	myeloma plasma cell	myeloma plasma cell (Hs)	DOID:9538-CL:0000786	Multiple myeloma cells are abnormal plasma cells (a type of white blood cell) that build up in the bone marrow and form tumors in many bones of the body.	PTPRC	positive	0.17	3	Human	protein tyrosine phosphatase receptor type C 	BioCompare; Paiva B, Puig N, Cedena MT, de Jong BG, Ruiz Y, Rapado I, Martinez-Lopez J, Cordon L, Alignani D, Delgado JA, van Zelm MC, Van Dongen JJ, Pascual M, Agirre X, Prosper F, Martín-Subero JI, Vidriales MB, Gutierrez NC, Hernandez MT, Oriol A, Echeveste MA, Gonzalez Y, Johnson SK, Epstein J, Barlogie B, Morgan GJ, Orfao A, Blade J, Mateos MV, Lahuerta JJ, San-Miguel JF. Differentiation stage of myeloma plasma cells: biological and clinical significance. Leukemia. 2017 Feb;31(2):382-392. doi: 10.1038/leu.2016.211. Epub 2016 Aug 1. PMID: 27479184; PMCID: PMC5439510.; Muz, B., de la Puente, P., Azab, F. et al. Hypoxia promotes stem cell-like phenotype in multiple myeloma cells. Blood Cancer Journal4, e262 (2014). https://doi.org/10.1038/bcj.2014.82
chronic lymphocytic leukemia	DOID:1040	CD5+ B cell	CD5+ B cell (Hs)	DOID:1040-CL:0000236	A cell which express B-phenotype and the CD5 antigen which is usually present on the surface of normal T cells	ROR1	positive	1.00	1	Human	receptor tyrosine kinase like orphan receptor 1 	Rawstron AC, Kreuzer KA, Soosapilla A, Spacek M, Stehlikova O, Gambell P, McIver-Brown N, Villamor N, Psarra K, Arroz M, Milani R, de la Serna J, Cedena MT, Jaksic O, Nomdedeu J, Moreno C, Rigolin GM, Cuneo A, Johansen P, Johnsen HE, Rosenquist R, Niemann CU, Kern W, Westerman D, Trneny M, Mulligan S, Doubek M, Pospisilova S, Hillmen P, Oscier D, Hallek M, Ghia P, Montserrat E. Reproducible diagnosis of chronic lymphocytic leukemia by flow cytometry: An European Research Initiative on CLL (ERIC) & European Society for Clinical Cell Analysis (ESCCA) Harmonisation project. Cytometry B Clin Cytom. 2018 Jan;94(1):121-128. doi: 10.1002/cyto.b.21595. Epub 2018 Jan 17. PMID: 29024461; PMCID: PMC5817234.
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	ROBO4	negative	0.50	1	Human	roundabout guidance receptor 4 	Herrmann H., Sadovnik I., Eisenwort G., Thomas R., Blatt K., Herndlhofer S., Willmann M., Stefanzl G., Baumgartner S., Greiner G., et al. Delineation of target expression profiles in CD34+/CD38− and CD34+/CD38− stem and progenitor cells in AML and CML. Blood Adv. 2020;4:5118–5132. doi: 10.1182/bloodadvances.2020001742.
chronic myeloid leukemia	DOID:8552	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:8552-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	ROBO4	positive	0.50	1	Human	roundabout guidance receptor 4 	Herrmann H., Sadovnik I., Eisenwort G., Thomas R., Blatt K., Herndlhofer S., Willmann M., Stefanzl G., Baumgartner S., Greiner G., et al. Delineation of target expression profiles in CD34+/CD38− and CD34+/CD38− stem and progenitor cells in AML and CML. Blood Adv. 2020;4:5118–5132. doi: 10.1182/bloodadvances.2020001742.
chronic lymphocytic leukemia	DOID:1040	CD5+ B cell	CD5+ B cell (Hs)	DOID:1040-CL:0000236	A cell which express B-phenotype and the CD5 antigen which is usually present on the surface of normal T cells	SPN	positive	1.00	1	Human	sialophorin 	Rawstron AC, Kreuzer KA, Soosapilla A, Spacek M, Stehlikova O, Gambell P, McIver-Brown N, Villamor N, Psarra K, Arroz M, Milani R, de la Serna J, Cedena MT, Jaksic O, Nomdedeu J, Moreno C, Rigolin GM, Cuneo A, Johansen P, Johnsen HE, Rosenquist R, Niemann CU, Kern W, Westerman D, Trneny M, Mulligan S, Doubek M, Pospisilova S, Hillmen P, Oscier D, Hallek M, Ghia P, Montserrat E. Reproducible diagnosis of chronic lymphocytic leukemia by flow cytometry: An European Research Initiative on CLL (ERIC) & European Society for Clinical Cell Analysis (ESCCA) Harmonisation project. Cytometry B Clin Cytom. 2018 Jan;94(1):121-128. doi: 10.1002/cyto.b.21595. Epub 2018 Jan 17. PMID: 29024461; PMCID: PMC5817234.
multiple myeloma	DOID:9538	myeloma plasma cell	myeloma plasma cell (Hs)	DOID:9538-CL:0000786	Multiple myeloma cells are abnormal plasma cells (a type of white blood cell) that build up in the bone marrow and form tumors in many bones of the body.	STAT5B	positive	0.50	2	Human	signal transducer and activator of transcription 5B 	Scheeren FA, Naspetti M, Diehl S, Schotte R, Nagasawa M, Wijnands E, Gimeno R, Vyth-Dreese FA, Blom B, Spits H. STAT5 regulates the self-renewal capacity and differentiation of human memory B cells and controls Bcl-6 expression. Nat Immunol. 2005 Mar;6(3):303-13. doi: 10.1038/ni1172. Epub 2005 Feb 13. PMID: 15711548.; Pelham SJ, Caldirola MS, Avery DT, Mackie J, Rao G, Gothe F, Peters TJ, Guerin A, Neumann D, Vokurkova D, Hwa V, Zhang W, Lyu SC, Chang I, Manohar M, Nadeau KC, Gaillard MI, Bezrodnik L, Iotova V, Zwirner NW, Gutierrez M, Al-Herz W, Goodnow CC, Vargas-Hernández A, Forbes Satter LR, Hambleton S, Deenick EK, Ma CS, Tangye SG. STAT5B restrains human B-cell differentiation to maintain humoral immune homeostasis. J Allergy Clin Immunol. 2022 Oct;150(4):931-946. doi: 10.1016/j.jaci.2022.04.011. Epub 2022 Apr 22. PMID: 35469842.
multiple myeloma	DOID:9538	myeloma plasma cell	myeloma plasma cell (Hs)	DOID:9538-CL:0000786	Multiple myeloma cells are abnormal plasma cells (a type of white blood cell) that build up in the bone marrow and form tumors in many bones of the body.	SLAMF7	positive	1.00	1	Human	SLAM family member 7 	Kikuchi J, Hori M, Iha H, Toyama-Sorimachi N, Hagiwara S, Kuroda Y, Koyama D, Izumi T, Yasui H, Suzuki A, Furukawa Y. Soluble SLAMF7 promotes the growth of myeloma cells via homophilic interaction with surface SLAMF7. Leukemia. 2020 Jan;34(1):180-195. doi: 10.1038/s41375-019-0525-6. Epub 2019 Jul 29. PMID: 31358854.
multiple myeloma	DOID:9538	myeloma plasma cell	myeloma plasma cell (Hs)	DOID:9538-CL:0000786	Multiple myeloma cells are abnormal plasma cells (a type of white blood cell) that build up in the bone marrow and form tumors in many bones of the body.	SDC1	positive	0.17	6	Human	syndecan 1 	CellMarker; Johnsen HE, Bøgsted M, Schmitz A, Bødker JS, El-Galaly TC, Johansen P, Valent P, Zojer N, Van Valckenborgh E, Vanderkerken K, van Duin M, Sonneveld P, Perez-Andres M, Orfao A, Dybkær K. The myeloma stem cell concept, revisited: from phenomenology to operational terms. Haematologica. 2016 Dec;101(12):1451-1459. doi: 10.3324/haematol.2015.138826. Epub 2016 Nov 10. PMID: 27903712; PMCID: PMC5479618.; BioCompare; Milteny Biotec; Cohen, Y.C., Zada, M., Wang, SY. et al. Identification of resistance pathways and therapeutic targets in relapsed multiple myeloma patients through single-cell sequencing. Nat Med 27, 491–503 (2021). https://doi.org/10.1038/s41591-021-01232-w; Halliley JL, Tipton CM, Liesveld J, Rosenberg AF, Darce J, Gregoretti IV, Popova L, Kaminiski D, Fucile CF, Albizua I, Kyu S, Chiang KY, Bradley KT, Burack R, Slifka M, Hammarlund E, Wu H, Zhao L, Walsh EE, Falsey AR, Randall TD, Cheung WC, Sanz I, Lee FE. Long-Lived Plasma Cells Are Contained within the CD19(-)CD38(hi)CD138(+) Subset in Human Bone Marrow. Immunity. 2015 Jul 21;43(1):132-45. doi: 10.1016/j.immuni.2015.06.016. Epub 2015 Jul 14. PMID: 26187412; PMCID: PMC4680845.
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	TEK	positive	1.00	1	Human	TEK receptor tyrosine kinase 	CellMarker
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	THY1	negative	0.12	1	Human	Thy-1 cell surface antigen 	Herrmann H., Sadovnik I., Eisenwort G., Thomas R., Blatt K., Herndlhofer S., Willmann M., Stefanzl G., Baumgartner S., Greiner G., et al. Delineation of target expression profiles in CD34+/CD38− and CD34+/CD38− stem and progenitor cells in AML and CML. Blood Adv. 2020;4:5118–5132. doi: 10.1182/bloodadvances.2020001742.
leukemia	DOID:1240	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:1240-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	THY1	positive	0.12	1	Human	Thy-1 cell surface antigen 	CellMarker
chronic myeloid leukemia	DOID:8552	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:8552-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	THY1	positive	0.12	1	Human	Thy-1 cell surface antigen 	Brendel C., Mohr B., Schimmelpfennig C., Muller J., Bornhauser M., Schmidt M., Ritter M., Ehninger G., Neubauer A. Detection of cytogenetic aberrations both in CD90 (Thy-1)-positive and (Thy-1)-negative stem cell (CD34) subfractions of patients with acute and chronic myeloid leukemias. Leukemia. 1999;13:1770–1775. doi: 10.1038/sj.leu.2401543.
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	THY1	positive	0.12	5	Human	Thy-1 cell surface antigen 	CellMarker; Buccisano F., Rossi F.M., Venditti A., Del Poeta G., Cox M.C., Abbruzzese E., Rupolo M., Berretta M., Degan M., Russo S., et al. CD90/Thy-1 is preferentially expressed on blast cells of high risk acute myeloid leukaemias. Br. J. Haematol. 2004;125:203–212.; Brendel C., Mohr B., Schimmelpfennig C., Muller J., Bornhauser M., Schmidt M., Ritter M., Ehninger G., Neubauer A. Detection of cytogenetic aberrations both in CD90 (Thy-1)-positive and (Thy-1)-negative stem cell (CD34) subfractions of patients with acute and chronic myeloid leukemias. Leukemia. 1999;13:1770–1775. doi: 10.1038/sj.leu.2401543.; Craig W., Kay R., Cutler R.L., Lansdorp P.M. Expression of Thy-1 on human hematopoietic progenitor cells. J. Exp. Med. 1993;177:1331–1342. doi: 10.1084/jem.177.5.1331.; Blair A., Hogge D.E., Ailles L.E., Lansdorp P.M., Sutherland H.J. Lack of expression of Thy-1 (CD90) on acute myeloid leukemia cells with long-term proliferative ability in vitro and in vivo. Blood. 1997;89:3104–3112. doi: 10.1182/blood.V89.9.3104.
multiple myeloma	DOID:9538	myeloma plasma cell	myeloma plasma cell (Hs)	DOID:9538-CL:0000786	Multiple myeloma cells are abnormal plasma cells (a type of white blood cell) that build up in the bone marrow and form tumors in many bones of the body.	TNFRSF17	positive	0.25	4	Human	TNF receptor superfamily member 17 	Abcam; Cohen, Y.C., Zada, M., Wang, SY. et al. Identification of resistance pathways and therapeutic targets in relapsed multiple myeloma patients through single-cell sequencing. Nat Med 27, 491–503 (2021). https://doi.org/10.1038/s41591-021-01232-w; O'Connor BP, Raman VS, Erickson LD, Cook WJ, Weaver LK, Ahonen C, Lin LL, Mantchev GT, Bram RJ, Noelle RJ. BCMA is essential for the survival of long-lived bone marrow plasma cells. J Exp Med. 2004 Jan 5;199(1):91-8. doi: 10.1084/jem.20031330. PMID: 14707116; PMCID: PMC1887725.; Cho SF, Anderson KC, Tai YT. Targeting B Cell Maturation Antigen (BCMA) in Multiple Myeloma: Potential Uses of BCMA-Based Immunotherapy. Front Immunol. 2018 Aug 10;9:1821. doi: 10.3389/fimmu.2018.01821. PMID: 30147690; PMCID: PMC6095983.
acute myeloid leukemia	DOID:9119	leukemia stem cell	leukemia stem cell (Hs, Mm)	DOID:9119-CL:0000037	A normal stem or progenitor cell undergoes a mutation, giving rise to an entity that is functionally defined as a leukemic stem cell	TFRC	positive	1.00	1	Human	transferrin receptor 	CellMarker
multiple myeloma	DOID:9538	myeloma plasma cell	myeloma plasma cell (Hs)	DOID:9538-CL:0000786	Multiple myeloma cells are abnormal plasma cells (a type of white blood cell) that build up in the bone marrow and form tumors in many bones of the body.	XBP1	positive	0.50	2	Human	X-box binding protein 1 	Shaffer AL, Shapiro-Shelef M, Iwakoshi NN, Lee AH, Qian SB, Zhao H, Yu X, Yang L, Tan BK, Rosenwald A, Hurt EM, Petroulakis E, Sonenberg N, Yewdell JW, Calame K, Glimcher LH, Staudt LM. XBP1, downstream of Blimp-1, expands the secretory apparatus and other organelles, and increases protein synthesis in plasma cell differentiation. Immunity. 2004 Jul;21(1):81-93. doi: 10.1016/j.immuni.2004.06.010. PMID: 15345222.; Cohen YC, Zada M, Wang SY, Bornstein C, David E, Moshe A, Li B, Shlomi-Loubaton S, Gatt ME, Gur C, Lavi N, Ganzel C, Luttwak E, Chubar E, Rouvio O, Vaxman I, Pasvolsky O, Ballan M, Tadmor T, Nemets A, Jarchowcky-Dolberg O, Shvetz O, Laiba M, Shpilberg O, Dally N, Avivi I, Weiner A, Amit I. Identification of resistance pathways and therapeutic targets in relapsed multiple myeloma patients through single-cell sequencing. Nat Med. 2021 Mar;27(3):491-503. doi: 10.1038/s41591-021-01232-w. Epub 2021 Feb 22. PMID: 33619369; PMCID: PMC7612793.
